ticker,name,exchange,currency,sector,country
AAPL,Apple Inc.,XNAS,USD,Information Technology,United States
ABBV,AbbVie Inc.,XNYS,USD,Health Care,United States
AMZN,Amazon.com Inc.,XNAS,USD,Consumer Discretionary,United States
AVGO,Broadcom Inc.,XNAS,USD,Information Technology,United States
BA,The Boeing Company,XNYS,USD,Industrials,United States
BAC,Bank of America Corporation,XNYS,USD,Financials,United States
BRK-B,Berkshire Hathaway Inc. Class B,XNYS,USD,Financials,United States
CAT,Caterpillar Inc.,XNYS,USD,Industrials,United States
COST,Costco Wholesale Corporation,XNAS,USD,Consumer Staples,United States
CRM,Salesforce Inc.,XNYS,USD,Information Technology,United States
CVX,Chevron Corporation,XNYS,USD,Energy,United States
DIS,The Walt Disney Company,XNYS,USD,Communication Services,United States
DUK,Duke Energy Corporation,XNYS,USD,Utilities,United States
GOOGL,Alphabet Inc. Class A,XNAS,USD,Communication Services,United States
GS,The Goldman Sachs Group Inc.,XNYS,USD,Financials,United States
HD,The Home Depot Inc.,XNYS,USD,Consumer Discretionary,United States
HON,Honeywell International Inc.,XNAS,USD,Industrials,United States
JNJ,Johnson & Johnson,XNYS,USD,Health Care,United States
JPM,JPMorgan Chase & Co.,XNYS,USD,Financials,United States
KO,The Coca-Cola Company,XNYS,USD,Consumer Staples,United States
LLY,Eli Lilly and Company,XNYS,USD,Health Care,United States
MCD,McDonald's Corporation,XNYS,USD,Consumer Discretionary,United States
META,Meta Platforms Inc.,XNAS,USD,Communication Services,United States
MSFT,Microsoft Corporation,XNAS,USD,Information Technology,United States
NEE,NextEra Energy Inc.,XNYS,USD,Utilities,United States
NFLX,Netflix Inc.,XNAS,USD,Communication Services,United States
NKE,NIKE Inc. Class B,XNYS,USD,Consumer Discretionary,United States
NVDA,NVIDIA Corporation,XNAS,USD,Information Technology,United States
ORCL,Oracle Corporation,XNYS,USD,Information Technology,United States
PEP,PepsiCo Inc.,XNAS,USD,Consumer Staples,United States
PFE,Pfizer Inc.,XNYS,USD,Health Care,United States
PG,The Procter & Gamble Company,XNYS,USD,Consumer Staples,United States
